converted from lammps dump file
 
 46656 atoms
 
1 atom types
 
         -0.2154440000          50.6907000000  xlo xhi
         -0.2154440000          50.6907000000  ylo yhi
         -0.2154440000          50.6907000000  zlo zhi
 
  Masses
 
  1 12.0107
 
  Atoms
 
164 1 11.9495 30.668 42.3881
165 1 19.6949 30.9762 41.7768
166 1 26.7754 24.7074 46.1137
167 1 39.3048 26.7447 44.459
168 1 39.0373 26.3898 45.7277
169 1 0.285765 36.9255 42.7208
170 1 14.064 37.9227 38.8041
171 1 19.499 38.9594 42.7709
172 1 26.2911 35.3331 42.6395
173 1 34.4278 33.7094 39.2294
174 1 44.5419 38.2779 39.932
175 1 0.645686 46.9796 44.4489
176 1 10.9374 0.949904 37.6184
177 1 21.4103 0.144604 45.0526
178 1 26.6683 48.4952 41.3018
179 1 39.4209 46.4699 47.9862
180 1 43.4843 42.6671 40.6893
181 1 49.4392 50.1438 49.0046
182 1 10.0138 50.3897 4.38552
183 1 16.6004 1.08496 7.13836
184 1 30.3612 3.0344 47.1201
185 1 38.2359 49.0397 46.4963
186 1 41.1788 7.43857 -0.0533575
187 1 48.2035 7.43956 48.2674
188 1 15.2964 10.2661 2.39601
189 1 20.9895 11.7884 49.3776
190 1 29.691 10.1096 -0.069914
191 1 31.2953 7.76999 0.95519
192 1 45.439 12.2484 46.7945
193 1 48.8628 16.9117 0.164223
194 1 6.54936 19.574 2.8199
195 1 18.4242 20.0876 43.3893
196 1 26.5867 19.7692 45.2427
197 1 32.8638 16.8312 49.2172
198 1 41.5935 17.7981 0.258395
199 1 47.3367 21.1096 2.237
200 1 9.59903 22.2097 48.5181
201 1 17.1028 28.7106 4.12398
202 1 24.4855 29.6113 50.5727
203 1 37.2422 26.3352 48.1836
204 1 41.3438 28.663 1.31855
205 1 2.1089 31.8779 -0.203945
206 1 6.07157 36.6525 5.38007
207 1 14.352 36.8741 46.6406
208 1 26.0705 34.0705 0.580536
209 1 32.6705 34.1479 3.88354
210 1 42.7484 34.8055 48.6577
211 1 49.3891 47.4571 50.4834
212 1 8.40955 40.5514 1.39159
213 1 12.5482 42.764 50.6148
214 1 17.7244 44.3715 1.24265
215 1 35.0323 42.636 47.0152
216 1 41.5291 39.2266 47.0054
217 1 0.499295 6.78115 3.67174
218 1 8.11389 3.64992 47.9314
219 1 22.0429 50.0054 0.931206
220 1 30.3276 4.29829 5.69123
221 1 36.131 6.78653 1.46487
222 1 41.4534 7.46114 5.51708
223 1 0.410097 17.3214 46.4823
224 1 8.01707 17.2641 0.977357
225 1 17.3378 12.9432 0.739606
226 1 27.9522 10.9001 0.0231814
227 1 38.5662 9.99192 50.1111
228 1 41.9425 14.1083 1.33117
229 1 0.987692 23.8843 50.4291
230 1 11.4045 23.2289 1.77294
231 1 23.0457 22.1938 4.79796
232 1 25.2064 24.4351 3.73177
233 1 34.1964 20.469 0.318004
234 1 43.7852 26.5343 -0.0058066
235 1 50.529 29.1715 1.0899
236 1 7.94252 27.8712 3.95644
237 1 14.4699 25.8944 4.14995
238 1 28.9574 31.0151 -0.0232601
239 1 32.6232 28.973 0.834153
240 1 43.6489 22.6142 49.0911
241 1 3.72463 39.8481 1.34773
242 1 10.9545 38.4282 4.83339
243 1 19.0416 37.2264 2.92126
244 1 25.2202 32.9182 2.23301
245 1 38.3072 34.7257 3.86853
246 1 44.325 38.2687 50.0116
247 1 2.32558 46.6948 0.331765
248 1 15.8593 50.4184 49.864
249 1 16.4723 45.7727 1.84684
250 1 23.1046 49.2379 2.28283
251 1 36.7809 45.7727 5.27749
252 1 47.5553 43.5009 6.66556
253 1 0.492552 3.91727 6.01061
254 1 8.30229 8.32727 3.52821
255 1 20.2905 4.31352 11.2517
256 1 29.0589 5.66854 8.43294
257 1 44.8123 7.69099 6.34565
258 1 42.4336 6.9763 8.7522
259 1 4.70423 12.3613 8.14951
260 1 9.81191 14.3179 10.7365
261 1 15.7145 10.7535 11.4772
262 1 32.1339 12.6357 8.00232
263 1 31.7116 10.6604 4.14489
264 1 45.022 16.0142 6.44314
265 1 2.68381 19.1041 8.57414
266 1 9.3128 23.6138 7.97029
267 1 21.0851 18.6828 5.60469
268 1 22.7123 18.5457 12.968
269 1 39.9577 19.6109 13.0591
270 1 43.6862 20.6209 12.4285
271 1 9.07862 26.6721 9.57179
272 1 10.0582 25.2567 11.0924
273 1 24.1229 31.1535 7.11074
274 1 26.9292 33.4692 9.73197
275 1 38.5892 28.4709 10.0777
276 1 42.1922 31.0887 6.44727
277 1 -0.117907 34.7286 6.18282
278 1 17.302 42.9183 10.9598
279 1 20.5405 40.4964 10.8984
280 1 32.2356 39.0912 9.06876
281 1 36.7826 35.0633 6.21228
282 1 46.0392 36.7026 9.88308
283 1 0.513098 43.9263 6.05114
284 1 11.9673 46.2458 8.04243
285 1 17.8018 46.4518 6.94814
286 1 27.5195 45.0843 16.0227
287 1 33.2855 46.8744 7.93223
288 1 47.0285 43.9441 8.74471
289 1 8.11587 4.927 17.8419
290 1 9.02969 47.9184 19.1804
291 1 15.121 3.69466 21.4979
292 1 27.9103 0.721979 19.0961
293 1 36.744 2.82935 13.6685
294 1 38.6165 4.13045 15.2777
295 1 3.22177 7.37461 18.364
296 1 7.06302 12.4838 14.0354
297 1 19.2319 11.0563 18.2512
298 1 25.7414 11.0386 15.721
299 1 36.5534 9.24974 15.6535
300 1 37.4227 12.3518 19.213
301 1 3.24626 20.4314 18.2374
302 1 14.7666 17.6434 23.2719
303 1 22.3025 21.4587 18.3794
304 1 31.4619 16.8591 10.9792
305 1 39.0637 19.5635 23.2434
306 1 44.2138 20.4193 16.3579
307 1 6.58146 29.1997 19.8497
308 1 12.299 32.5737 16.2515
309 1 18.1433 24.0181 19.1101
310 1 32.4189 28.8446 13.017
311 1 34.9468 34.3516 15.1026
312 1 45.3009 26.1147 17.8489
313 1 7.18363 43.6268 16.2919
314 1 12.2362 40.2991 21.6029
315 1 22.9731 41.2285 22.4115
316 1 27.8183 31.9204 17.0275
317 1 38.2609 33.8997 12.8285
318 1 43.2191 39.1722 15.9725
319 1 4.49449 47.708 18.8702
320 1 3.59776 45.8461 16.2921
321 1 22.7995 47.8242 20.3739
322 1 25.259 39.9217 17.6047
323 1 35.8682 44.0516 11.7337
324 1 44.9332 46.8182 22.0316
325 1 7.80414 1.29979 30.1393
326 1 6.14683 1.92706 26.9996
327 1 23.3108 6.2952 25.3337
328 1 29.7942 4.36569 29.9921
329 1 40.1098 50.3248 22.6624
330 1 43.559 9.04785 27.3699
331 1 12.8505 9.97685 25.3834
332 1 11.6678 17.0373 29.0598
333 1 21.3011 9.78351 29.9633
334 1 22.9911 7.79676 29.9181
335 1 35.3691 11.668 28.5156
336 1 38.973 8.80441 24.4191
337 1 0.976468 16.1913 33.776
338 1 6.13826 23.8481 26.8566
339 1 22.6412 26.3576 25.6242
340 1 30.9733 21.6393 30.3978
341 1 37.7004 22.8522 26.9345
342 1 48.2095 18.0355 28.1605
343 1 3.64755 26.5918 19.9415
344 1 14.188 28.3596 26.7698
345 1 17.7759 27.0039 23.6034
346 1 33.3159 20.5373 28.5251
347 1 36.138 30.0306 21.2664
348 1 43.4273 24.6052 23.5136
349 1 3.62538 33.6054 21.1663
350 1 7.03225 35.224 25.191
351 1 18.4466 34.7199 26.1431
352 1 25.8347 36.1945 29.0758
353 1 35.3315 31.5234 21.981
354 1 42.6901 36.2459 21.7837
355 1 0.111243 41.0296 32.421
356 1 11.3164 45.9114 24.6803
357 1 19.5353 46.8052 22.7335
358 1 26.8427 43.407 23.5005
359 1 34.012 45.0355 29.3926
360 1 41.0262 44.4386 27.1463
361 1 4.63859 2.12829 36.5345
362 1 13.0271 5.9174 32.8786
363 1 21.4729 5.18614 34.9055
364 1 25.5598 7.4638 39.3192
365 1 40.8861 1.97555 35.924
366 1 47.5807 5.58049 34.1937
367 1 48.8062 15.2932 35.9399
368 1 6.54077 8.70017 33.2392
369 1 20.9598 7.68379 36.1634
370 1 27.8987 12.7228 31.8874
371 1 37.3524 11.5741 31.5966
372 1 44.8452 10.1118 37.9756
373 1 5.10516 15.6942 40.6805
374 1 13.0202 17.4629 34.4255
375 1 20.3593 20.7151 34.7849
376 1 29.1148 17.8461 34.4748
377 1 35.2327 25.1668 33.184
378 1 41.5189 12.9137 31.7375
379 1 0.0418839 27.7639 34.7628
380 1 15.2614 29.1216 33.9756
381 1 19.0954 29.0132 34.0931
382 1 31.9774 30.6679 34.9265
383 1 38.0146 31.1757 35.578
384 1 43.3483 27.0907 33.6499
385 1 2.79012 42.4761 31.2259
386 1 6.60548 42.6895 35.0072
387 1 18.0539 35.4984 30.3592
388 1 25.1117 38.0306 40.8975
389 1 34.7973 34.874 34.697
390 1 44.6907 36.6215 33.7577
391 1 2.85093 49.1365 36.7636
392 1 13.3352 49.9205 30.8042
393 1 14.1972 48.8561 35.5322
394 1 27.9556 45.8765 29.8311
395 1 39.4838 47.2021 34.2891
396 1 43.3066 46.1428 35.1298
397 1 0.288141 0.389139 44.4367
398 1 11.1561 2.79292 43.3708
399 1 21.6077 50.4744 43.9571
400 1 32.9511 1.00457 42.3809
401 1 32.5336 0.752628 38.483
402 1 43.7014 4.13424 44.7555
403 1 2.80894 9.28722 43.9936
404 1 9.4228 13.99 46.1373
405 1 13.025 15.6025 44.645
406 1 28.5745 11.8426 43.6119
407 1 34.7488 13.3842 39.0982
408 1 49.0726 9.4323 43.3794
409 1 1.92562 19.1595 40.0252
410 1 12.5267 24.8206 39.4458
411 1 19.335 23.3748 45.481
412 1 25.4432 22.5101 42.5055
413 1 28.1846 19.7795 41.3965
